ID,AGE,JOB,MARITAL,EDUCATION,
2836,58,management,married,tertiary,
2837,44,technician,single,secondary,
2838,33,entrepreneur,married,secondary,
2839,47,blue-collar,married,unknown,
2840,33,unknown,single,unknown,
2841,35,management,married,tertiary,
2842,28,management,single,tertiary,
2843,42,entrepreneur,divorced,tertiary,
2844,58,retired,married,primary,
2845,43,technician,single,secondary,
2846,41,admin.,divorced,secondary,
2847,29,admin.,single,secondary,
2848,53,technician,married,secondary,
2849,58,technician,married,unknown,
2850,57,services,married,secondary,
2851,51,retired,married,primary,
2852,45,admin.,single,unknown,
2853,57,blue-collar,married,primary,
2854,60,retired,married,primary,
2855,33,services,married,secondary,
2856,28,blue-collar,married,secondary,
2857,56,management,married,tertiary,
2858,32,blue-collar,single,primary,
2859,25,services,married,secondary,
2860,40,retired,married,primary,
2861,44,admin.,married,secondary,
2862,39,management,single,tertiary,
2863,52,entrepreneur,married,secondary,
2864,46,management,single,secondary,
2865,36,technician,single,secondary,
2866,57,technician,married,secondary,
2867,49,management,married,tertiary,
2868,60,admin.,married,secondary,
2869,59,blue-collar,married,secondary,
2870,51,management,married,tertiary,
2871,57,technician,divorced,secondary,
2872,25,blue-collar,married,secondary,
2873,53,technician,married,secondary,
2874,36,admin.,divorced,secondary,
2875,37,admin.,single,secondary,
2876,44,services,divorced,secondary,
2877,50,management,married,secondary,
2878,60,blue-collar,married,unknown,
2879,54,retired,married,secondary,
2880,58,retired,married,unknown,
2881,36,admin.,single,primary,
2882,58,self-employed,married,tertiary,
2883,44,technician,married,secondary,
2884,55,technician,divorced,secondary,
2885,29,management,single,tertiary,
2886,54,blue-collar,married,secondary,
2887,48,management,divorced,tertiary,
2888,32,management,married,tertiary,
2889,42,admin.,single,secondary,
2890,24,technician,single,secondary,
2891,38,entrepreneur,single,tertiary,
2892,38,management,single,tertiary,
2893,47,blue-collar,married,unknown,
2894,40,blue-collar,single,unknown,
2895,46,services,married,primary,
2896,32,admin.,married,tertiary,
2897,53,technician,divorced,secondary,
2898,57,blue-collar,married,primary,
2899,33,services,married,secondary,
2900,49,blue-collar,married,unknown,
2901,51,management,married,tertiary,
2902,60,retired,married,tertiary,
2903,59,management,divorced,tertiary,
2904,55,technician,married,secondary,
2905,35,blue-collar,single,secondary,
2906,57,blue-collar,married,secondary,
2907,31,services,married,secondary,
2908,54,management,married,secondary,
2909,55,blue-collar,married,primary,
2910,43,technician,married,secondary,
2911,53,technician,married,secondary,
2912,44,blue-collar,married,secondary,
2913,55,services,divorced,secondary,
2914,49,services,divorced,secondary,
2915,55,services,divorced,secondary,
2916,45,admin.,single,secondary,
2917,47,services,divorced,secondary,
2918,42,technician,single,secondary,
2919,59,admin.,married,secondary,
2920,46,self-employed,married,tertiary,
2921,51,blue-collar,married,primary,
2922,56,admin.,married,secondary,
2923,41,technician,married,secondary,
2924,46,management,divorced,secondary,
2925,57,retired,married,secondary,
2926,42,management,single,secondary,
2927,30,technician,married,secondary,
2928,60,admin.,married,secondary,
2929,60,blue-collar,married,unknown,
2930,57,entrepreneur,divorced,secondary,
2931,36,management,married,tertiary,
2932,55,blue-collar,married,secondary,
2933,60,retired,married,tertiary,
2934,39,technician,married,secondary,
2935,46,management,married,tertiary,
2936,44,blue-collar,married,secondary,
2937,53,blue-collar,married,primary,
2938,52,blue-collar,married,primary,
2939,59,blue-collar,married,primary,
2940,27,technician,single,tertiary,
2941,44,blue-collar,married,secondary,
2942,47,technician,married,tertiary,
2943,34,admin.,married,secondary,
2944,59,retired,single,secondary,
2945,45,management,married,tertiary,
2946,29,services,divorced,secondary,
2947,46,technician,divorced,secondary,
2948,56,self-employed,married,primary,
2949,36,blue-collar,married,primary,
2950,59,retired,divorced,primary,
2951,44,blue-collar,married,secondary,
2952,41,admin.,married,secondary,
2953,33,management,single,tertiary,
2954,59,management,divorced,tertiary,
2955,57,technician,married,primary,
2956,56,technician,divorced,unknown,
2957,51,blue-collar,married,secondary,
2958,34,admin.,married,unknown,
2959,43,services,married,secondary,
2960,52,technician,married,tertiary,
2961,33,technician,single,secondary,
2962,29,admin.,single,secondary,
2963,34,services,married,secondary,
2964,31,blue-collar,married,secondary,
2965,55,services,married,secondary,
2966,55,management,married,unknown,
2967,32,admin.,single,secondary,
