ID,DEFAULT,BALANCE,HOUSING,LOAN,
2836,no,2143,yes,no,
2837,no,29,yes,no,
2838,no,2,yes,yes,
2839,no,1506,yes,no,
2840,no,1,no,no,
2841,no,231,yes,no,
2842,no,447,yes,yes,
2843,yes,2,yes,no,
2844,no,121,yes,no,
2845,no,593,yes,no,
2846,no,270,yes,no,
2847,no,390,yes,no,
2848,no,6,yes,no,
2849,no,71,yes,no,
2850,no,162,yes,no,
2851,no,229,yes,no,
2852,no,13,yes,no,
2853,no,52,yes,no,
2854,no,60,yes,no,
2855,no,0,yes,no,
2856,no,723,yes,yes,
2857,no,779,yes,no,
2858,no,23,yes,yes,
2859,no,50,yes,no,
2860,no,0,yes,yes,
2861,no,-372,yes,no,
2862,no,255,yes,no,
2863,no,113,yes,yes,
2864,no,-246,yes,no,
2865,no,265,yes,yes,
2866,no,839,no,yes,
2867,no,378,yes,no,
2868,no,39,yes,yes,
2869,no,0,yes,no,
2870,no,10635,yes,no,
2871,no,63,yes,no,
2872,no,-7,yes,no,
2873,no,-3,no,no,
2874,no,506,yes,no,
2875,no,0,yes,no,
2876,no,2586,yes,no,
2877,no,49,yes,no,
2878,no,104,yes,no,
2879,no,529,yes,no,
2880,no,96,yes,no,
2881,no,-171,yes,no,
2882,no,-364,yes,no,
2883,no,0,yes,no,
2884,no,0,no,no,
2885,no,0,yes,no,
2886,no,1291,yes,no,
2887,no,-244,yes,no,
2888,no,0,yes,no,
2889,no,-76,yes,no,
2890,no,-103,yes,yes,
2891,no,243,no,yes,
2892,no,424,yes,no,
2893,no,306,yes,no,
2894,no,24,yes,no,
2895,no,179,yes,no,
2896,no,0,yes,no,
2897,no,989,yes,no,
2898,no,249,yes,no,
2899,no,790,yes,no,
2900,no,154,yes,no,
2901,no,6530,yes,no,
2902,no,100,no,no,
2903,no,59,yes,no,
2904,no,1205,yes,no,
2905,no,12223,yes,yes,
2906,no,5935,yes,yes,
2907,no,25,yes,yes,
2908,no,282,yes,yes,
2909,no,23,yes,no,
2910,no,1937,yes,no,
2911,no,384,yes,no,
2912,no,582,no,yes,
2913,no,91,no,no,
2914,no,0,yes,yes,
2915,yes,1,yes,no,
2916,no,206,yes,no,
2917,no,164,no,no,
2918,no,690,yes,no,
2919,no,2343,yes,no,
2920,no,137,yes,yes,
2921,no,173,yes,no,
2922,no,45,no,no,
2923,no,1270,yes,no,
2924,no,16,yes,yes,
2925,no,486,yes,no,
2926,no,50,no,no,
2927,no,152,yes,yes,
2928,no,290,yes,no,
2929,no,54,yes,no,
2930,no,-37,no,no,
2931,no,101,yes,yes,
2932,no,383,no,no,
2933,no,81,yes,no,
2934,no,0,yes,no,
2935,no,229,yes,no,
